?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZFA_0000304>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral telencephalon"	
<http://purl.obolibrary.org/obo/ZFA_0001043>	<http://www.w3.org/2000/01/rdf-schema#label>	"sclerotome somite 27"	
<http://purl.obolibrary.org/obo/ZFA_0009058>	<http://www.w3.org/2000/01/rdf-schema#label>	"unipolar neuron"	
<http://purl.obolibrary.org/obo/ZFA_0005869>	<http://www.w3.org/2000/01/rdf-schema#label>	"cerebellar plate"	
<http://purl.obolibrary.org/obo/ZFA_0005359>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal fin lepidotrichium 5"	
<http://purl.obolibrary.org/obo/ZFA_0009329>	<http://www.w3.org/2000/01/rdf-schema#label>	"mononuclear osteoclast"	
<http://purl.obolibrary.org/obo/ZFA_0000972>	<http://www.w3.org/2000/01/rdf-schema#label>	"slow muscle cell somite 4"	
<http://purl.obolibrary.org/obo/ZFA_0000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"pericardium"	
<http://purl.obolibrary.org/obo/ZFA_0001153>	<http://www.w3.org/2000/01/rdf-schema#label>	"tooth placode"	
<http://purl.obolibrary.org/obo/ZFA_0005158>	<http://www.w3.org/2000/01/rdf-schema#label>	"tela chorioidea fourth ventricle"	
<http://purl.obolibrary.org/obo/ZFA_0009383>	<http://www.w3.org/2000/01/rdf-schema#label>	"endo-epithelial cell"	
<http://purl.obolibrary.org/obo/ZFA_0007076>	<http://www.w3.org/2000/01/rdf-schema#label>	"central chamber of the maxillary blood sinus"	
<http://purl.obolibrary.org/obo/ZFA_0005515>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal fin principal ray 4"	
<http://purl.obolibrary.org/obo/ZFA_0000457>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral rectus"	
<http://purl.obolibrary.org/obo/ZFA_0000632>	<http://www.w3.org/2000/01/rdf-schema#label>	"reproductive system"	
<http://purl.obolibrary.org/obo/ZFA_0000905>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral mesenchyme derived from mesoderm"	
<http://purl.obolibrary.org/obo/ZFA_0005373>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal fin distal radial 2"	
<http://purl.obolibrary.org/obo/ZFA_0000256>	<http://www.w3.org/2000/01/rdf-schema#label>	"pars subcommissuralis of ventral telencephalon"	
<http://purl.obolibrary.org/obo/ZFA_0005822>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal interfilamental caudal muscle"	
<http://purl.obolibrary.org/obo/ZFA_0005312>	<http://www.w3.org/2000/01/rdf-schema#label>	"pronephric capsular space"	
